Location|Age|T_g|P|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Sarikaraman, Turkey|100|1275.93451404499|0.521675621898987|48.77|0.33|16.87|6.35463546354635|0.19|9.95|14.22|1.18|0.22
Sarikaraman, Turkey|100|1358.59074911277|0.970201787968778|48.68|0.58|15.31|8.12781278127813|0.24|10.1|13.47|1.44|0.27
Sarikaraman, Turkey|100|1285.16819663932|0.288899199203354|50.57|0.38|11.64|6.60666066606661|0.16|11.91|14.62|1.56|0.14
Italian Albian ophiolites|105|1457.88948926091|1.98913399177382|48.1360272947819|0.874614903249268|16.3712720665433|10.2605821509851|0.168856387626914|8.07684805975955|11.2516738948728|2.92483190311277|0.285121532210763
Italian Albian ophiolites|105|1459.85035315337|1.82419124239922|48.72|0.96|15.89|10.4321242124212|0.18|8.65|10.97|2.5|0.11
Italian Albian ophiolites|105|1459.33538155063|1.80820397411856|49.28|1.31|14.76|10.4721242124212|0.16|8.92|11.24|2.8|0.02
East Sulawesi ophiolite|110|1364.47070235712|1.23005620484575|50.29|0.84|16.52|8.52|0.13|7.99|10.07|3.2|0.44
East Sulawesi ophiolite|110|1428.67505994501|1.54750582148156|49.23|1.29|16.26|9.83|0.17|8.63|12.03|2.22|0.01
Muslin Bagh, Pakistan|145|1435.6376050903|1.60779887616857|48.9979172635273|0.919756946536136|14.0400026380316|9.80689654590363|0.170083477969914|8.41824106647801|10.73181688|2.92235010152611|0.301791853079029
Muslin Bagh, Pakistan|145|1373.86669828853|1.15333433291314|49.2683987262552|0.836193137189923|13.7413943402797|8.50120981224831|0.148289624316047|9.95742435764253|10.8581654328193|2.86691634972833|0.123123287435742
Muslin Bagh, Pakistan|145|1297.24637020901|0.543964397062758|45.8941268689323|0.24023429421695|16.6051921629828|6.2989824403737|0.13764431200145|10.8164789493454|18.5939413920352|0.661148879823916|0.0528792167350848
Hokkaido, Japan ophiolite|150|1503.89406488478|2.33012063065263|49.38|1.1|13.11|11.4401440144014|0.19|8.01|8.23|3.94|0.9
Hokkaido, Japan ophiolite|150|1461.66728097447|1.90982231618154|47.04|1.09|14.12|10.03600360036|0.17|8.7|11.29|2.66|0.25
Hokkaido, Japan ophiolite|150|1484.9641689773|2.09934203277612|47.29|1.14|13.92|10.6300630063006|0.23|8.88|10.61|2.71|0.31
Hokkaido, Japan ophiolite|150|1302.21816842052|0.546582804102411|54.22|0.69|9.1|7.38973897389739|0.12|12.48|8.79|4.14|0.09
Hokkaido, Japan ophiolite|150|1340.40231623214|0.726693899671301|52.59|0.66|9.33|8.01980198019802|0.12|13.54|8.39|3.64|0.08
Hokkaido, Japan ophiolite|150|1503.39489123163|0.945852412692059|48.11|0.6|6.41|9.62196219621962|0.22|17.32|12.89|0.29|0.07
Yarlung Zangbo ophiolite|150|1349.83164858103|1.17131953614083|51.1|0.86|16.1|8.28082808280828|0.14|7.8|7.5|4.69|0.02
Yarlung Zangbo ophiolite|150|1359.63007790959|1.25070385125397|51.1|0.78|16.9|8.64086408640864|0.17|8.5|6.3|4.26|0.57
Yarlung Zangbo ophiolite|150|1367.91074478009|1.34801065870832|50|0.48|17|8.64086408640864|0.16|8.9|8|4.2|0.06
Yarlung Zangbo ophiolite|150|1394.70054007318|2.03504117824555|48.2|1.7|14.7|8.82088208820882|0.17|9.3|9.2|5.42|0.75
Yarlung Zangbo ophiolite|150|1221.66091245387|0.56028699666196|51.7|0.49|16.3|5.49054905490549|0.12|9.4|11.1|2.42|1.57
Yarlung Zangbo ophiolite|150|1397.5547263456|1.19453506425509|50.2|0.94|13|9.18091809180918|0.17|10|8.7|3.04|0.22
Yarlung Zangbo ophiolite|150|1347.20699340633|1.01801748482386|50.6|0.72|13.9|8.19081908190819|0.17|10.8|9.2|2.66|0.88
Yungbwa ophiolite, SW Tibet|150|1494.33662625049|2.11464766523282|48.91|1.54|12.51|11.026102610261|0.23|8.16|11.78|3.14|0.16
Yungbwa ophiolite, SW Tibet|150|1502.61857920532|2.23534228181461|48.8|1.43|13.64|11.2691269126913|0.24|8.21|12.27|2.84|0.19
Yungbwa ophiolite, SW Tibet|150|1420.05885749004|1.51407848484535|47.68|1.06|14.77|9.25292529252925|0.2|8.88|13.23|2.23|0.05
Ingalls ophiolite, Washington|161|1192.5117184728|0.0899286389591379|56.45|0.38|13.8|5.13951395139514|0.15|8.41|11.68|2.79|0.58
Ingalls ophiolite, Washington|161|1319.48681612361|0.736892408164782|48.1947427636289|0.797790733353789|15.996727012376|7.16242228702772|0.14319320855068|8.92911936176741|16.4467628106781|1.18645801370564|0.28638641710136
