Location|Age|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Vetreny Belt|2430|47.4|0.56|8.88|12.0506293706294|0.182351182590634|20.7|8.05|0.63|0.18
Vetreny Belt|2430|45.08|0.49|11.9|11.547020979021|0.17|21.25|6.41|0.64|1.16
Vetreny Belt|2430|47.9|0.46|8.81|10.5218181818182|0.182182882170001|21.6|7.26|1.68|0.32
Vetreny Belt|2430|48.6|0.48|8.56|10.7916083916084|0.182220155078272|22.1|7.2|0.44|0.36
Vetreny Belt|2430|47.8|0.45|8.5|10.5218181818182|0.182201323260115|22.6|7|1.28|0.39
Vetreny Belt|2430|48.5|0.47|8.55|11|0.19|23|7.18|0.56|0.4
Vetreny Belt|2430|46.4|0.5|7.92|11.6909090909091|0.182258346603827|23.7|7.48|0.53|0.29
Vetreny Belt|2430|46.5|0.43|7.6|12.0506293706294|0.192481803845669|24.8|6.25|0.47|0.35
Vetreny Belt|2430|47.1|0.42|7.4|12.4|0.19|25.6|6.2|0.25|0.3
Vetreny Belt|2430|45.4|0.46|7.19|12.0506293706294|0.182443595939177|25.6|6.83|0.67|0.21
Vetreny Belt|2430|46|0.38|7.31|11.0613986013986|0.18216521833287|26.1|5.88|1.62|0.22
Vetreny Belt|2430|44.19|0.42|5.97|11.520041958042|0.19|29.23|6.17|0.76|0.24
Vetreny Belt|2430|45.2|0.3|3.77|10.8815384615385|0.18|34.4|3.72|0.03|0.16
Vetreny Belt|2430|43.8|0.34|4.23|10.8815384615385|0.18|34.8|4.22|0.02|0.29
Central Gawler Craton|2520|47.85|0.53|8.32|9.76495104895105|0.18|23.47|7.58|0.92|0.36
Central Gawler Craton|2520|44.76|0.62|8.16|10.6118601398601|0.18|24.61|9.46|0.63|0.07
Central Gawler Craton|2520|47.38|0.42|6.65|10.3243216783217|0.19|25.07|7.46|1.42|0.06
Central Gawler Craton|2520|45.74|0.46|7.56|10.8226573426573|0.18|25.13|7.91|1.06|0.08
Central Gawler Craton|2520|46.08|0.42|7.29|11.0363636363636|0.18|27.26|5.72|0.68|0.1
Central Gawler Craton|2520|46.91|0.41|6.52|9.47314685314685|0.17|28.34|6.26|0.96|0.04
Central Gawler Craton|2520|47.11|0.37|6.29|9.72598601398601|0.19|28.54|5.91|0.7|0.08
Central Gawler Craton|2520|46.59|0.4|6.46|9.97429370629371|0.18|28.74|5.87|0.86|0.04
Central Gawler Craton|2520|46.44|0.39|6.34|10.0501258741259|0.18|29.06|5.63|0.94|0.04
Central Gawler Craton|2520|46.45|0.39|6.1|10.5414125874126|0.18|29.07|5.52|0.83|0.03
Central Gawler Craton|2520|46.05|0.39|6.21|9.94717482517483|0.18|29.27|5.74|0.85|0.03
Central Gawler Craton|2520|45.59|0.36|6.1|10.796013986014|0.19|29.64|5.48|0.55|0.04
Central Gawler Craton|2520|46.05|0.36|5.64|10.0609230769231|0.18|30.55|5.5|0.7|0.02
Central Gawler Craton|2520|45.87|0.37|5.61|9.7079020979021|0.19|31.15|5.44|0.68|0.02
Central Gawler Craton|2520|45.96|0.34|5.75|9.57751048951049|0.17|31.35|5.05|0.59|0.06
Qingyuan Greenstone Belt|2549|44.86|0.43|11.92|12.470993006993|0.19|17.15|9.65|0.98|0.01
Qingyuan Greenstone Belt|2549|50.67|0.19|4.83|7.96626573426573|0.17|17.17|16.06|0.8|0.15
Qingyuan Greenstone Belt|2549|49.08|0.32|7.53|10.221034965035|0.25|18.44|9.42|0.55|0.37
Qingyuan Greenstone Belt|2549|48.88|0.14|3.59|10.6325314685315|0.16|20.27|12.77|0.7|0.07
Qingyuan Greenstone Belt|2549|46.67|0.25|6.5|10.8716223776224|0.17|23.35|7.88|0.65|0.11
Qingyuan Greenstone Belt|2549|47.27|0.3|6.42|8.52106293706294|0.18|25.28|9.95|0.09|0.01
Bastar Craton|2600|53.89|0.37|8.78|10.0361958041958|0.18|18.35|5.13|0.84|0.82
Bastar Craton|2600|43.9|0.23|6.42|9.76439160839161|0.14|25.12|4.56|0.54|0.2
Lake of Enemy|2660|51.3|1.63|5.2|14.63|0.35|17.44|8.82|0.39|0.08
Belingwe|2690|48.6|0.436|8.76|12.0506293706294|0.218|18.1|8.58|1.25|0.083
Belingwe|2690|48.4|0.417|8.26|11.7808391608392|0.209|19.5|8.48|1.12|0.073
Yilgarn|2690|48.1|0.41|8.08|11.600979020979|0.21|20.2|8.48|1.05|0.095
North Caribou Greenstone Belt|2690|48.3|0.419|8.27|11.7808391608392|0.22|20.3|7.86|0.97|0.084
Dharwar craton|2690|47.6|0.384|7.77|11.600979020979|0.208|21.6|7.85|1.05|0.052
Karasjok komatiites, Lapland|2690|46.9|0.366|7.29|11.4211188811189|0.215|24|7.22|0.54|0.14
Vetreny Belt|2690|46.3|0.33|6.56|11.1513286713287|0.196|26.1|6.57|0.87|0.041
Wawa Greenstone Belt|2690|46.5|0.318|6.33|11.0613986013986|0.195|26.6|6.39|0.75|0.021
Wawa Greenstone Belt|2690|46.3|0.31|6.23|11.1513286713287|0.165|26.7|6.44|0.7|0.01
Yilgarn|2690|46.3|0.319|6.31|11.1513286713287|0.196|26.7|6.37|0.84|0.021
Yilgarn|2690|46.2|0.308|6.19|10.9714685314685|0.195|27.5|6.11|0.66|0.021
Abitibi|2690|46|0.31|6.04|11.0613986013986|0.197|27.5|6.15|0.8|0.031
Belingwe|2690|46.2|0.31|6.11|10.9714685314685|0.196|27.7|6.01|0.6|0.021
Belingwe|2690|46.7|0.313|6.19|11.0613986013986|0.198|27.8|5.25|0.63|0.021
Belingwe|2690|45.7|0.311|6.15|10.8815384615385|0.197|27.8|6.26|0.8|0.021
Belingwe|2690|46.1|0.312|6.07|11.0613986013986|0.198|27.9|5.89|0.56|0.021
Belingwe|2690|45.8|0.299|5.96|10.8815384615385|0.196|28.3|6.01|0.78|0.021
Belingwe|2690|45.5|0.3|5.99|10.9714685314685|0.197|28.3|6.03|0.77|0.021
Belingwe|2690|45.8|0.303|5.83|10.8815384615385|0.198|28.8|5.83|0.51|0.01
Belingwe|2690|45.5|0.304|5.77|10.8815384615385|0.199|28.8|6.04|0.65|0.01
Belingwe|2690|45.4|0.29|5.78|10.7016783216783|0.196|29.1|5.83|0.78|0.01
Belingwe|2690|45.5|0.283|5.62|10.7916083916084|0.189|29.6|5.51|0.55|0.021
Belingwe|2690|45.5|0.283|5.62|10.7916083916084|0.189|29.6|5.51|0.55|0.021
